Macrotrends Data Download

U.S. Fertility Rate 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,3.148
1951-12-31,3.203,1.75
1952-12-31,3.257,1.69
1953-12-31,3.311,1.66
1954-12-31,3.365,1.63
1955-12-31,3.419,1.6
1956-12-31,3.474,1.61
1957-12-31,3.528,1.55
1958-12-31,3.582,1.53
1959-12-31,3.512,-1.95
1960-12-31,3.443,-1.96
1961-12-31,3.373,-2.03
1962-12-31,3.304,-2.05
1963-12-31,3.234,-2.12
1964-12-31,3.096,-4.27
1965-12-31,2.958,-4.46
1966-12-31,2.819,-4.7
1967-12-31,2.681,-4.9
1968-12-31,2.543,-5.15
1969-12-31,2.44,-4.05
1970-12-31,2.337,-4.22
1971-12-31,2.235,-4.36
1972-12-31,2.132,-4.61
1973-12-31,2.029,-4.83
1974-12-31,1.978,-2.51
1975-12-31,1.926,-2.63
1976-12-31,1.875,-2.65
1977-12-31,1.823,-2.77
1978-12-31,1.772,-2.8
1979-12-31,1.778,0.34
1980-12-31,1.785,0.39
1981-12-31,1.791,0.34
1982-12-31,1.798,0.39
1983-12-31,1.804,0.33
1984-12-31,1.826,1.22
1985-12-31,1.848,1.2
1986-12-31,1.871,1.24
1987-12-31,1.893,1.18
1988-12-31,1.915,1.16
1989-12-31,1.938,1.2
1990-12-31,1.961,1.19
1991-12-31,1.984,1.17
1992-12-31,2.007,1.16
1993-12-31,2.03,1.15
1994-12-31,2.023,-0.34
1995-12-31,2.016,-0.35
1996-12-31,2.01,-0.3
1997-12-31,2.003,-0.35
1998-12-31,1.996,-0.35
1999-12-31,2.005,0.45
2000-12-31,2.014,0.45
2001-12-31,2.024,0.5
2002-12-31,2.033,0.44
2003-12-31,2.042,0.44
2004-12-31,2.045,0.15
2005-12-31,2.047,0.1
2006-12-31,2.05,0.15
2007-12-31,2.052,0.1
2008-12-31,2.055,0.15
2009-12-31,2.019,-1.75
2010-12-31,1.983,-1.78
2011-12-31,1.947,-1.82
2012-12-31,1.911,-1.85
2013-12-31,1.875,-1.88
2014-12-31,1.855,-1.07
2015-12-31,1.835,-1.08
2016-12-31,1.816,-1.04
2017-12-31,1.796,-1.1
2018-12-31,1.776,-1.11
2019-12-31,1.778,0.11
2020-12-31,1.779,0.06
2021-12-31,1.781,0.11
2022-12-31,1.782,0.06
2023-12-31,1.784,0.11
2024-12-31,1.786,0.11
2025-12-31,1.787,0.06
2026-12-31,1.789,0.11
2027-12-31,1.79,0.06
2028-12-31,1.792,0.11
2029-12-31,1.793,0.06
2030-12-31,1.794,0.06
2031-12-31,1.795,0.06
2032-12-31,1.796,0.06
2033-12-31,1.797,0.06
2034-12-31,1.798,0.06
2035-12-31,1.798,0
2036-12-31,1.799,0.06
2037-12-31,1.799,0
2038-12-31,1.8,0.06
2039-12-31,1.8,0
2040-12-31,1.801,0.06
2041-12-31,1.801,0
2042-12-31,1.802,0.06
2043-12-31,1.802,0
2044-12-31,1.803,0.06
2045-12-31,1.804,0.06
2046-12-31,1.804,0
2047-12-31,1.805,0.06
2048-12-31,1.806,0.06
2049-12-31,1.807,0.06
2050-12-31,1.807,0
2051-12-31,1.808,0.06
2052-12-31,1.808,0
2053-12-31,1.809,0.06
2054-12-31,1.81,0.06
2055-12-31,1.811,0.06
2056-12-31,1.811,0
2057-12-31,1.812,0.06
2058-12-31,1.813,0.06
2059-12-31,1.813,0
2060-12-31,1.814,0.06
2061-12-31,1.814,0
2062-12-31,1.815,0.06
2063-12-31,1.815,0
2064-12-31,1.815,0
2065-12-31,1.815,0
2066-12-31,1.816,0.06
2067-12-31,1.816,0
2068-12-31,1.816,0
2069-12-31,1.816,0
2070-12-31,1.816,0
2071-12-31,1.815,-0.06
2072-12-31,1.815,0
2073-12-31,1.815,0
2074-12-31,1.815,0
2075-12-31,1.816,0.06
2076-12-31,1.816,0
2077-12-31,1.817,0.06
2078-12-31,1.817,0
2079-12-31,1.818,0.06
2080-12-31,1.818,0
2081-12-31,1.819,0.06
2082-12-31,1.819,0
2083-12-31,1.82,0.05
2084-12-31,1.82,0
2085-12-31,1.82,0
2086-12-31,1.821,0.05
2087-12-31,1.821,0
2088-12-31,1.821,0
2089-12-31,1.821,0
2090-12-31,1.821,0
2091-12-31,1.821,0
2092-12-31,1.821,0
2093-12-31,1.821,0
2094-12-31,1.821,0
2095-12-31,1.821,0
2096-12-31,1.821,0
2097-12-31,1.821,0
2098-12-31,1.821,0
2099-12-31,1.821,0
2100-12-31,1.821,0
